Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Assembly,TenantRosterAutomation (Release), , , ,76,435,7,130,3806,1548
Namespace,TenantRosterAutomation (Release),TenantRosterAutomation, , ,76,429,7,119,3707,1531
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,InitializeComponent() : void,25,1,,13,217,156
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,InitializeComponent() : void,25,1,,10,238,162
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,InitializeComponent() : void,32,1,,12,128,91
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,InitializeComponent() : void,34,1,,12,118,81
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,InitializeComponent() : void,37,1,,9,94,63
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,InitializeComponent() : void,45,1,,10,55,33
Type,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg, ,51,15,7,20,349,199
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,"UdateTenantDataTable(int, Tenant) : bool",52,1,,4,31,20
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,printAndOrSaveMailList(int) : void,53,10,,7,30,17
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,SaveEdits(List<Apartment>) : void,53,3,,10,39,20
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"CreateMailistPrintAndOrSave(string, MailboxData, bool, bool, bool, bool) : bool",53,2,,8,38,19
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"AddTitleToMailBoxList(Document, int, bool) : void",54,2,,8,23,17
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,InitializeComponent() : void,55,1,,8,33,17
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,GetPreferenceValues(string[]) : bool,56,10,,5,54,12
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,CreateBuildingList(List<BuildingAndApartment>) : void,56,5,,4,32,15
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,"VerifyApartmentNumber(string, int) : PropertyComplex.ApartmentNumberValid",56,5,,3,34,16
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,SavePreferencesToFile(string) : bool,57,4,,3,30,15
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,GetActiveWorkSheetContents(bool) : DataTable,57,3,,5,36,15
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,"AddNewResident_Form_Load(object, EventArgs) : void",57,2,,5,18,13
Type,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg, ,59,30,7,25,412,213
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"FillFloor1Stand2Nd(MailboxData, int, Table) : void",59,4,,5,24,12
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,OpenTenantRosterWorkSheet() : void,59,3,,11,26,12
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,"PropertyComplex(string, DataTable)",59,2,,5,21,12
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,"ANR_SaveNewTenant_BTN_Click(object, EventArgs) : void",59,1,,5,14,11
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"UpdateColumnData(Apartment, List<string>) : void",59,1,,4,15,11
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,FillTenantFromDataRow(DataRow[]) : Tenant,59,1,,3,18,11
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,GetUnitColumn() : Range,60,3,,7,28,11
Member,TenantRosterAutomation (Release),TenantRosterAutomation,CheckExcelWorkBookOpen,IsOpen(string) : bool,60,2,,4,27,12
Type,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg, ,61,34,7,28,312,145
Type,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg, ,61,18,7,22,220,111
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,Dispose(bool) : void,61,6,,4,28,12
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"PrintMailboxLists_Form_Load(object, EventArgs) : void",61,3,,10,20,10
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"RentRosterApp_Load(object, EventArgs) : void",61,3,,5,20,10
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,"Form_CurrentProgressStatus_Load(object, EventArgs) : void",61,1,,6,12,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,VerifyApartmentNumber() : void,62,6,,4,38,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,AdvancedInitialization() : bool,62,6,,4,21,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EditPreferencesDlg_Load(object, EventArgs) : void",62,4,,8,22,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"CreateAndFormatTenatTable(int, int, Document, Application) : Table",62,2,,12,15,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"AddTenantTableToMailBoxList(Document, MailboxData, Application) : void",62,2,,7,20,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"ReadExcelIntoDatatble(int, int) : DataTable",62,2,,5,27,11
Type,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp, ,63,16,7,22,221,103
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"AddTenantDataToTenantTable(Range, DataTable, int, int) : void",63,3,,4,18,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,GetWorkSheetNames() : List<string>,63,3,,3,19,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"FillThirdFloor(MailboxData, int, Application, Table) : void",63,2,,9,13,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,FindRowInWorkSheetForUpdate(int) : Range,63,2,,8,25,9
Type,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface, ,64,44,1,34,368,148
Type,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface, ,64,25,1,33,226,105
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,fillSheetSelectorListBox() : void,64,3,,5,19,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,SaveChanges(List<Apartment>) : void,64,3,,5,28,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,StartExcelOpenWorkbook() : void,64,2,,5,18,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,"ExcelFileData(string, string)",64,2,,4,16,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,GetTenant(int) : Tenant,64,2,,3,20,9
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,CreateBuildAndApartmentFromDataRow(DataRow) : BuildingAndApartment,64,1,,3,17,8
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DeleteRenter_Load(object, EventArgs) : void",65,3,,5,13,7
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,CreateBuildingAndApartmentsList(DataTable) : List<BuildingAndApartment>,65,3,,5,17,8
